Products,Budget version,Month,Freight,Other Sales Revenue,Other Sales Cost of Goods Sold,Quantity
Binoculars,Budget version 1,Jan,5024.12,23961.16,10417.9,10
Binoculars,Budget version 1,Feb,1016.08,4846.05,2106.98,2
Binoculars,Budget version 2,Mar,5407.46,25789.16,11212.68,11
Binoculars,Budget version 2,Apr,1075.7,5130.07,2230.47,2
Climbing Accessories,Budget version 1,May,657.07,3133.96,1362.59,1
Climbing Accessories,Budget version 2,Jun,700.98,3343.22,1453.57,1
Cooking Gear,Budget version 1,Jul,4946.14,23589.21,10256.18,10
Cooking Gear,Budget version 1,Aug,788.25,3759.18,1634.43,2
Cooking Gear,Budget version 1,Sep,157.61,751.86,326.9,0
Cooking Gear,Budget version 1,Oct,374.38,1785.64,776.37,1
Cooking Gear,Budget version 1,Nov,4453.53,21239.73,9234.67,9
Cooking Gear,Budget version 2,Dec,5287.34,25216.47,10963.68,11
Cooking Gear,Budget version 2,Jan,842.33,4017.21,1746.61,2
Cooking Gear,Budget version 2,Feb,172.54,822.75,357.72,0
Cooking Gear,Budget version 2,Mar,405.9,1936.05,841.76,1
Cooking Gear,Budget version 2,Apr,4779.91,22796.54,9911.54,10
Eyewear,Budget version 1,May,2535.39,12091.79,5257.3,5
Eyewear,Budget version 1,Jun,926.39,4418.14,1920.93,2
Eyewear,Budget version 1,Jul,1560.23,7441.06,3235.24,3
Eyewear,Budget version 1,Aug,1023.93,4883.21,2123.13,2
Eyewear,Budget version 1,Sep,1072.71,5115.69,2224.21,2
Eyewear,Budget version 1,Oct,585.07,2790.44,1213.23,1
Eyewear,Budget version 2,Nov,2711.91,12933.56,5623.29,6
Eyewear,Budget version 2,Dec,1004.36,4790.2,2082.7,2
Eyewear,Budget version 2,Jan,1682.34,8023.59,3488.52,3
Eyewear,Budget version 2,Feb,1104.78,5269.21,2290.96,2
Eyewear,Budget version 2,Mar,1155.11,5508.76,2395.11,2
Eyewear,Budget version 2,Apr,627.77,2993.83,1301.67,1
Golf Accessories,Budget version 1,May,1394.22,6649.27,2890.99,3
Golf Accessories,Budget version 2,Jun,1497.08,7140.23,3104.45,3
Insect Repellents,Budget version 1,Jul,347.17,1655.68,719.86,1
Insect Repellents,Budget version 1,Aug,100.87,481.11,209.18,0
Insect Repellents,Budget version 1,Sep,62.27,297.18,129.21,0
Insect Repellents,Budget version 1,Oct,136.48,650.99,283.04,0
Insect Repellents,Budget version 2,Nov,372.83,1778.23,773.14,1
Insect Repellents,Budget version 2,Dec,108.5,517.5,225,0
Insect Repellents,Budget version 2,Jan,67.24,320.63,139.4,0
Insect Repellents,Budget version 2,Feb,146.66,699.66,304.2,0
Irons,Budget version 1,Mar,5562.74,26529.95,11534.76,12
Irons,Budget version 2,Apr,5880.38,28044.95,12193.46,12
Knives,Budget version 1,May,3077.11,14675.62,6380.7,6
Knives,Budget version 1,Jun,721.22,3439.66,1495.5,1
Knives,Budget version 1,Jul,432.78,2063.8,897.3,1
Knives,Budget version 1,Aug,480.78,2293.07,996.99,1
Knives,Budget version 1,Sep,336.56,1605.14,697.89,1
Knives,Budget version 1,Oct,625,2981,1296.09,1
Knives,Budget version 2,Nov,3293.23,15706.42,6828.88,7
Knives,Budget version 2,Dec,767.56,3660.86,1591.68,2
Knives,Budget version 2,Jan,458.11,2184.68,949.86,1
Knives,Budget version 2,Feb,520.04,2479.98,1078.25,1
Knives,Budget version 2,Mar,359.01,1712.31,744.48,1
Knives,Budget version 2,Apr,668.58,3188.49,1386.3,1
Lanterns,Budget version 1,May,11229.88,53558.05,23286.11,23
Lanterns,Budget version 1,Jun,1067.51,5091.03,2213.49,2
Lanterns,Budget version 1,Jul,526.68,2511.62,1092.01,1
Lanterns,Budget version 1,Aug,412.76,1968.57,855.9,1
Lanterns,Budget version 2,Sep,12043.23,57437.12,24972.66,25
Lanterns,Budget version 2,Oct,1143.49,5453.58,2371.12,2
Lanterns,Budget version 2,Nov,564.39,2691.78,1170.34,1
Lanterns,Budget version 2,Dec,439.86,2097.53,911.97,1
Packs,Budget version 1,Jan,5743.79,27393.74,11910.32,12
Packs,Budget version 1,Feb,1457.38,6950.66,3022.03,3
Packs,Budget version 1,Mar,857.26,4088.66,1777.68,2
Packs,Budget version 1,Apr,2143.21,10221.54,4444.15,4
Packs,Budget version 1,May,4715.1,22487.41,9777.13,10
Packs,Budget version 2,Jun,6136.86,29268.3,12725.35,13
Packs,Budget version 2,Jul,1545.3,7369.72,3204.23,3
Packs,Budget version 2,Aug,927.16,4421.79,1922.52,2
Packs,Budget version 2,Sep,2295.83,10949.29,4760.56,5
Packs,Budget version 2,Oct,5077.31,24214.76,10528.16,11
Sleeping Bags,Budget version 1,Nov,12689.14,60517.67,26312.03,26
Sleeping Bags,Budget version 1,Dec,862.9,4115.2,1789.22,2
Sleeping Bags,Budget version 1,Jan,862.9,4115.2,1789.22,2
Sleeping Bags,Budget version 1,Feb,609.07,2904.8,1262.96,1
