Regions,Existing Stores Revenue,Store Type,Budget Version,Retailers,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Department Store,10197973.22,13074104.94,6836410.176,9096240.622,11561295.73,10770069.91,11486195.01,15301514.63,12359407.69,9317767.816,106911056.6,106911056.6
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Direct Marketing,206185.5516,857505.2318,313190.641,1314683.385,393709.6385,1752180.964,1058101.492,974335.5723,372075.0053,143051.2577,4276442.262,4276442.262
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Equipment Rental Store,1244300.554,592776.3498,1000874.745,2124676.326,160231.4371,371669.9716,3701441.64,1055021.29,1105974.637,753878.551,6408763.328,6408763.328
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Eyewear Store,1203950.572,1456343.026,877942.8855,1930644.172,1002242.345,1595488.416,1264988.334,857887.6706,1664082.717,1806567.474,795132.4519,795132.4519
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Golf Shop,4367026.069,5143779.312,5123376.434,7155954.596,3467136.832,7871709.142,4680689.643,3798403.191,5800968.759,5226197.36,11697416.28,8149871.237
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Outdoors Shop,14026011.27,20334649.22,15399673.53,20876624.67,19981650.48,26978201.42,14129088.17,20895854.22,23479631.9,20815942.14,39908907.06,39908907.06
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Sports Store,21411393.5,16942307.07,17388406.06,16335885.83,17291343.32,13759299.2,19729960.9,13550114.03,10614641.21,16479893.69,4358835.05,4358835.05
Americas,Existing Stores Revenue,Franchise Store,Budget version 1,Warehouse Store,3100050.667,3572607.143,2599061.543,5449848.245,5702651.995,3025442.497,5780619.833,7267872.712,1730202.452,5507485.531,11455270.25,11455270.25
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Department Store,14093419.66,18068183.11,9447798.643,12570844.58,15977507.39,14884047.22,15873719.52,21146424.14,17080484.08,12876991.27,147749200.2,147749200.2
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Direct Marketing,231578.0363,963110.054,351761.1835,1476591.324,442196.3822,1967968.288,1188410.458,1094328.467,417897.3669,160668.5294,4803101.352,4803101.352
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Equipment Rental Store,1339039.29,637909.2417,1077079.492,2286445.241,172431.1615,399968.2339,3983262.542,1135348.654,1190181.495,811277.4657,6896714.682,6896714.682
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Eyewear Store,1052212.097,1272794.569,767292.4009,1687317.736,875925.9262,1394402.936,1105557.038,749764.8211,1454352.036,1578878.897,694918.8815,694918.8815
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Golf Shop,19713795.86,23220245.01,23128141.56,32303683.52,15651481.5,35534770.03,21129747.94,17146896.75,26186954.71,23592299.71,52804923.3,36790459.98
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Outdoors Shop,8466958.254,12275237.97,9296184.809,12602407.5,12062146.34,16285692.4,8529181.775,12614015.63,14173741.86,12565775.81,24091457.19,24091457.19
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Sports Store,2268387.196,1794918.786,1842179.85,1730672.702,1831896.732,1457701.393,2090251.187,1435539.689,1124546.901,1745929.327,461788.0483,461788.0483
Americas,Existing Stores Revenue,Franchise Store,Budget version 2,Warehouse Store,2230412.847,2570406.011,1869963.068,3921036.411,4102922.706,2176734.04,4159018.714,5229061.847,1244839.582,3962505.069,8241794.95,8241794.95
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Department Store,4445694.09,5699512.03,2980257.71,3965405.9,5040019.52,4695093.34,5007280.19,6670526.75,5387947.64,4061978.24,4204491.63,4339846.6
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Direct Marketing,89884.32,373819.96,136532.01,573121.74,171633.38,763843.99,461267.69,424750.86,162202,62361.62,673680.34,87681.67
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Equipment Rental Store,542439.12,258414.32,436320.32,926229.24,69851.13,162025.43,1613602.71,459924.91,482137.46,328645.05,444055.09,284096.88
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Eyewear Store,524848.99,634876.7,382729.53,841643.06,436916.51,695535.6,551457.73,373986.68,725438.53,787553.19,214335.75,566754.41
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Golf Shop,1903756.91,2242373.93,2233479.52,3119559.58,1511460.11,3431584.89,2040495.09,1655872.03,2528868.43,2278303.17,2735314.91,1905759.68
Americas,Existing Stores Revenue,Corporate Store,Budget version 1,Outdoors Shop,6114485.11,8864666.33,6713318.04,9100934.56,8710780.42,11760849.73,6159420.35,9109317.47,10235686.89,9074480.68,7994030.83,10421030.1
