Metrics,Country,Product line,Product type,Retailer type,Actual,Target,Tolerance
Order count,Canada,Insect Repellents,BugShield Lotion,Department Store,2,2,0.05
Order count,Canada,Insect Repellents,BugShield Lotion Lite,Department Store,2,2,0.05
Order count,Canada,Insect Repellents,BugShield Natural,Warehouse Store,2,2,0.05
Order count,Canada,Insect Repellents,BugShield Spray,Sports Store,2,2,0.05
Order count,Canada,Sunscreen,Sun Blocker,Department Store,2,2,0.05
Order count,Canada,Sunscreen,Sun Shelter 15,Warehouse Store,2,2,0.05
Order count,Canada,Sunscreen,Sun Shelter 30,Sports Store,2,2,0.05
Order count,Canada,Sunscreen,Sun Shelter Stick,Sports Store,2,2,0.05
Order count,Canada,Sunscreen,Sun Shield,Sports Store,1,2,0.05
Order count,China,Insect Repellents,BugShield Lotion,Sports Store,1,2,0.05
Order count,China,Insect Repellents,BugShield Lotion Lite,Sports Store,1,2,0.05
Order count,China,Insect Repellents,BugShield Natural,Warehouse Store,1,2,0.05
Order count,China,Sunscreen,Sun Blocker,Sports Store,1,2,0.05
Order count,China,Sunscreen,Sun Shelter 15,Warehouse Store,1,2,0.05
Order count,France,Insect Repellents,BugShield Extreme,Department Store,1,2,0.05
Order count,France,Insect Repellents,BugShield Extreme,Sports Store,1,2,0.05
Order count,France,Insect Repellents,BugShield Lotion,Department Store,2,2,0.05
Order count,France,Insect Repellents,BugShield Lotion,Sports Store,1,2,0.05
Order count,France,Insect Repellents,BugShield Lotion Lite,Department Store,3,2,0.05
Order count,France,Insect Repellents,BugShield Natural,Warehouse Store,3,2,0.05
Order count,France,Insect Repellents,BugShield Spray,Sports Store,2,2,0.05
Order count,France,Sunscreen,Sun Blocker,Department Store,3,2,0.05
Order count,France,Sunscreen,Sun Shelter 15,Warehouse Store,3,2,0.05
Order count,France,Sunscreen,Sun Shelter 30,Sports Store,3,2,0.05
Order count,France,Sunscreen,Sun Shelter Stick,Sports Store,3,2,0.05
Order count,France,Sunscreen,Sun Shield,Department Store,1,2,0.05
Order count,Germany,Insect Repellents,BugShield Extreme,Sports Store,1,2,0.05
Order count,Germany,Insect Repellents,BugShield Lotion,Department Store,2,2,0.05
Order count,Germany,Insect Repellents,BugShield Lotion Lite,Department Store,2,2,0.05
Order count,Germany,Insect Repellents,BugShield Natural,Warehouse Store,2,2,0.05
Order count,Germany,Insect Repellents,BugShield Spray,Sports Store,2,2,0.05
Order count,Germany,Sunscreen,Sun Blocker,Department Store,2,2,0.05
Order count,Germany,Sunscreen,Sun Shelter 15,Warehouse Store,2,2,0.05
Order count,Germany,Sunscreen,Sun Shelter 30,Sports Store,2,2,0.05
Order count,Germany,Sunscreen,Sun Shelter Stick,Sports Store,2,2,0.05
Order count,Germany,Sunscreen,Sun Shield,Department Store,1,2,0.05
Order count,Germany,Sunscreen,Sun Shield,Sports Store,1,2,0.05
Order count,Japan,Insect Repellents,BugShield Extreme,Sports Store,1,2,0.05
Order count,Japan,Insect Repellents,BugShield Lotion,Department Store,2,2,0.05
Order count,Japan,Insect Repellents,BugShield Lotion Lite,Department Store,2,2,0.05
Order count,Japan,Insect Repellents,BugShield Spray,Sports Store,2,2,0.05
Order count,Japan,Sunscreen,Sun Blocker,Department Store,2,2,0.05
Order count,Japan,Sunscreen,Sun Shelter 15,Department Store,1,2,0.05
Order count,Japan,Sunscreen,Sun Shelter 30,Sports Store,2,2,0.05
Order count,Japan,Sunscreen,Sun Shelter Stick,Sports Store,2,2,0.05
Order count,United Kingdom,Insect Repellents,BugShield Lotion,Department Store,2,2,0.05
Order count,United Kingdom,Insect Repellents,BugShield Lotion Lite,Department Store,2,2,0.05
Order count,United Kingdom,Insect Repellents,BugShield Natural,Warehouse Store,2,2,0.05
Order count,United Kingdom,Insect Repellents,BugShield Spray,Sports Store,2,2,0.05
Order count,United Kingdom,Sunscreen,Sun Blocker,Department Store,2,2,0.05
Order count,United Kingdom,Sunscreen,Sun Shelter 15,Warehouse Store,2,2,0.05
Order count,United Kingdom,Sunscreen,Sun Shelter 30,Sports Store,2,2,0.05
Order count,United Kingdom,Sunscreen,Sun Shelter Stick,Sports Store,2,2,0.05
Order count,United Kingdom,Sunscreen,Sun Shield,Sports Store,2,2,0.05
Order count,United States,Insect Repellents,BugShield Extreme,Sports Store,1,2,0.05
Order count,United States,Insect Repellents,BugShield Lotion,Department Store,4,2,0.05
Order count,United States,Insect Repellents,BugShield Lotion Lite,Department Store,4,2,0.05
Order count,United States,Insect Repellents,BugShield Natural,Warehouse Store,4,2,0.05
Order count,United States,Insect Repellents,BugShield Spray,Sports Store,4,2,0.05
Order count,United States,Sunscreen,Sun Blocker,Department Store,4,2,0.05
Order count,United States,Sunscreen,Sun Shelter 15,Warehouse Store,4,2,0.05
Order count,United States,Sunscreen,Sun Shelter 30,Sports Store,4,2,0.05
