Metrics,Country,Product line,Product type,Retailer type,Actual,Target,Tolerance
Price discount,Canada,Insect Repellents,BugShield Lotion,Department Store,0.07,0.025,0.05
Price discount,Canada,Insect Repellents,BugShield Lotion Lite,Department Store,0.04,0.025,0.05
Price discount,Canada,Insect Repellents,BugShield Natural,Warehouse Store,0.05,0.025,0.05
Price discount,Canada,Insect Repellents,BugShield Spray,Sports Store,0.04,0.025,0.05
Price discount,Canada,Sunscreen,Sun Blocker,Department Store,0.05,0.025,0.05
Price discount,Canada,Sunscreen,Sun Shelter 15,Warehouse Store,0.04,0.025,0.05
Price discount,Canada,Sunscreen,Sun Shelter 30,Sports Store,0.06,0.025,0.05
Price discount,Canada,Sunscreen,Sun Shelter Stick,Sports Store,0.03,0.025,0.05
Price discount,Canada,Sunscreen,Sun Shield,Sports Store,0.04,0.025,0.05
Price discount,China,Insect Repellents,BugShield Lotion,Sports Store,0.07,0.025,0.05
Price discount,China,Insect Repellents,BugShield Lotion Lite,Sports Store,0.04,0.025,0.05
Price discount,China,Insect Repellents,BugShield Natural,Warehouse Store,0.07,0.025,0.05
Price discount,China,Sunscreen,Sun Blocker,Sports Store,0.05,0.025,0.05
Price discount,China,Sunscreen,Sun Shelter 15,Warehouse Store,0.07,0.025,0.05
Price discount,France,Insect Repellents,BugShield Extreme,Department Store,0.04,0.025,0.05
Price discount,France,Insect Repellents,BugShield Extreme,Sports Store,0.07,0.025,0.05
Price discount,France,Insect Repellents,BugShield Lotion,Department Store,0.05,0.025,0.05
Price discount,France,Insect Repellents,BugShield Lotion,Sports Store,0,0.025,0.05
Price discount,France,Insect Repellents,BugShield Lotion Lite,Department Store,0.02,0.025,0.05
Price discount,France,Insect Repellents,BugShield Natural,Warehouse Store,0.04,0.025,0.05
Price discount,France,Insect Repellents,BugShield Spray,Sports Store,0.02,0.025,0.05
Price discount,France,Sunscreen,Sun Blocker,Department Store,0.03,0.025,0.05
Price discount,France,Sunscreen,Sun Shelter 15,Warehouse Store,0.04,0.025,0.05
Price discount,France,Sunscreen,Sun Shelter 30,Sports Store,0.06,0.025,0.05
Price discount,France,Sunscreen,Sun Shelter Stick,Sports Store,0.03,0.025,0.05
Price discount,France,Sunscreen,Sun Shield,Department Store,0.03,0.025,0.05
Price discount,Germany,Insect Repellents,BugShield Extreme,Sports Store,0.07,0.025,0.05
