Metrics,Country,Product line,Product type,Retailer type,Actual,Target,Tolerance
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,272,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,647,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,488,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,501,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,472,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,490,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,440,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,440,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,395,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,536,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion,Department Store,496,880,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,145,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,213,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,212,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,148,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,250,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,76,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,232,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,251,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,152,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,148,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Lotion Lite,Department Store,312,400,0.05
Quantity sold,Australia,Insect Repellents,BugShield Natural,Department Store,526,524,0.05
Quantity sold,Australia,Insect Repellents,BugShield Natural,Department Store,798,524,0.05
Quantity sold,Australia,Insect Repellents,BugShield Natural,Department Store,947,524,0.05
Quantity sold,Australia,Insect Repellents,BugShield Natural,Department Store,714,524,0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,463,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,561,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,24,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,478,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,295,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,526,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,440,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,354,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,133,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,555,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,273,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,270,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,306,"1,039",0.05
Quantity sold,Australia,Insect Repellents,BugShield Spray,Department Store,453,"1,039",0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,430,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,458,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,46,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,383,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,396,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,250,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,482,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,407,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,508,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,438,760,0.05
Quantity sold,Australia,Sunscreen,Sun Blocker,Department Store,468,760,0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,683,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,838,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,334,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,24,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,405,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,615,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,830,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,376,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,654,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,793,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,404,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 15,Department Store,752,"1,148",0.05
Quantity sold,Australia,Sunscreen,Sun Shelter 30,Department Store,270,"2,535",0.05
