Metrics,Country,Product line,Product type,Retailer type,Actual,Target,Tolerance
Sales revenue,Canada,Insect Repellents,BugShield Lotion,Department Store,"16,496.34","12,480",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion Lite,Department Store,"7,768.32","12,480",0.05
Sales revenue,Canada,Insect Repellents,BugShield Natural,Warehouse Store,"20,639.70","11,245",0.05
Sales revenue,Canada,Insect Repellents,BugShield Spray,Sports Store,"14,892.37","8,710",0.05
Sales revenue,Canada,Sunscreen,Sun Blocker,Department Store,"7,756.75","3,445",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 15,Warehouse Store,"11,851.20","5,850",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 30,Sports Store,"22,010.10","20,540",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter Stick,Sports Store,"9,045.25","20,540",0.05
Sales revenue,Canada,Sunscreen,Sun Shield,Sports Store,"7,205.76","20,540",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion,Sports Store,"16,639.56","13,065",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion Lite,Sports Store,"7,835.52","13,065",0.05
Sales revenue,China,Insect Repellents,BugShield Natural,Warehouse Store,"20,372.58","10,400",0.05
Sales revenue,China,Sunscreen,Sun Blocker,Sports Store,"8,759","4,225",0.05
Sales revenue,China,Sunscreen,Sun Shelter 15,Warehouse Store,"12,973.50","5,980",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Department Store,"8,406.72","17,290",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Sports Store,"25,799.13","19,175",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Department Store,"16,027.55","17,290",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Sports Store,"2,548","19,175",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion Lite,Department Store,"8,590.26","17,290",0.05
Sales revenue,France,Insect Repellents,BugShield Natural,Warehouse Store,"22,548.90","10,985",0.05
Sales revenue,France,Insect Repellents,BugShield Spray,Sports Store,"9,015.23","19,175",0.05
Sales revenue,France,Sunscreen,Sun Blocker,Department Store,"12,295.95","7,930",0.05
Sales revenue,France,Sunscreen,Sun Shelter 15,Warehouse Store,"18,444.75","8,970",0.05
Sales revenue,France,Sunscreen,Sun Shelter 30,Sports Store,"34,145.40","25,090",0.05
Sales revenue,France,Sunscreen,Sun Shelter Stick,Sports Store,"14,064.20","25,090",0.05
Sales revenue,France,Sunscreen,Sun Shield,Department Store,"3,387.24","7,930",0.05
Sales revenue,Germany,Insect Repellents,BugShield Extreme,Sports Store,"24,379.95","19,565",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion,Department Store,"14,449.68","11,115",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion Lite,Department Store,"6,733.44","11,115",0.05
Sales revenue,Germany,Insect Repellents,BugShield Natural,Warehouse Store,"17,504.46","8,775",0.05
Sales revenue,Germany,Insect Repellents,BugShield Spray,Sports Store,"12,901.72","19,565",0.05
Sales revenue,Germany,Sunscreen,Sun Blocker,Department Store,"9,181.75","9,165",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 15,Warehouse Store,"13,596.60","6,760",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter 30,Sports Store,"25,765.65","23,400",0.05
Sales revenue,Germany,Sunscreen,Sun Shelter Stick,Sports Store,"10,598.40","23,400",0.05
Sales revenue,Germany,Sunscreen,Sun Shield,Department Store,"8,565.12","9,165",0.05
Sales revenue,Germany,Sunscreen,Sun Shield,Sports Store,"9,427.80","23,400",0.05
Sales revenue,Japan,Insect Repellents,BugShield Extreme,Sports Store,"33,070.80","27,625",0.05
Sales revenue,Japan,Insect Repellents,BugShield Lotion,Department Store,"19,434.24","14,495",0.05
Sales revenue,Japan,Insect Repellents,BugShield Lotion Lite,Department Store,"8,956.01","14,495",0.05
Sales revenue,Japan,Insect Repellents,BugShield Spray,Sports Store,"16,907.94","27,625",0.05
Sales revenue,Japan,Sunscreen,Sun Blocker,Department Store,"9,484.30","8,970",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 15,Department Store,"6,897.60","8,970",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter 30,Sports Store,"26,216.70","21,645",0.05
Sales revenue,Japan,Sunscreen,Sun Shelter Stick,Sports Store,"10,785.60","21,645",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion,Department Store,"13,113.80","9,945",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Lotion Lite,Department Store,"7,029.12","9,945",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Natural,Warehouse Store,"17,966.40","8,580",0.05
Sales revenue,United Kingdom,Insect Repellents,BugShield Spray,Sports Store,"11,525.91","6,500",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Blocker,Department Store,"8,849.25","4,290",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 15,Warehouse Store,"14,422.25","8,840",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter 30,Sports Store,"25,872.60","27,690",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shelter Stick,Sports Store,"10,771.20","27,690",0.05
Sales revenue,United Kingdom,Sunscreen,Sun Shield,Sports Store,"16,079.70","27,690",0.05
Sales revenue,United States,Insect Repellents,BugShield Extreme,Sports Store,"38,649.87","37,895",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion,Department Store,"43,162.63","33,540",0.05
Sales revenue,United States,Insect Repellents,BugShield Lotion Lite,Department Store,"20,064.45","33,540",0.05
Sales revenue,United States,Insect Repellents,BugShield Natural,Warehouse Store,"52,589.88","25,610",0.05
Sales revenue,United States,Insect Repellents,BugShield Spray,Sports Store,"37,747.28","37,895",0.05
Sales revenue,United States,Sunscreen,Sun Blocker,Department Store,"20,476.10","15,925",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 15,Warehouse Store,"30,661.60","14,300",0.05
Sales revenue,United States,Sunscreen,Sun Shelter 30,Sports Store,"57,563.40","40,235",0.05
Sales revenue,United States,Sunscreen,Sun Shelter Stick,Sports Store,"23,677.15","40,235",0.05
Sales revenue,United States,Sunscreen,Sun Shield,Department Store,"10,237.20","15,925",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion,Department Store,"16,802.31","14,755",0.05
Sales revenue,Canada,Insect Repellents,BugShield Lotion Lite,Department Store,"8,581.44","14,755",0.05
Sales revenue,Canada,Insect Repellents,BugShield Spray,Direct Marketing,"12,463.20","6,305",0.05
Sales revenue,Canada,Sunscreen,Sun Blocker,Sports Store,"7,139.20","10,400",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 15,Department Store,"11,223.60","29,640",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter 30,Department Store,"22,659.45","29,640",0.05
Sales revenue,Canada,Sunscreen,Sun Shelter Stick,Sports Store,"8,943.40","10,400",0.05
Sales revenue,Canada,Sunscreen,Sun Shield,Department Store,"13,457.04","29,640",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion,Sports Store,"16,483.32","13,910",0.05
Sales revenue,China,Insect Repellents,BugShield Lotion Lite,Sports Store,"8,420.16","13,910",0.05
Sales revenue,China,Insect Repellents,BugShield Spray,Direct Marketing,"11,978","6,565",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Department Store,"8,225.28","20,800",0.05
Sales revenue,France,Insect Repellents,BugShield Extreme,Sports Store,"22,322.79","15,925",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Department Store,"14,802.97","20,800",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion,Sports Store,"2,611","15,925",0.05
Sales revenue,France,Insect Repellents,BugShield Lotion Lite,Department Store,"8,689.59","20,800",0.05
Sales revenue,France,Insect Repellents,BugShield Natural,Department Store,"3,014.76","20,800",0.05
Sales revenue,France,Insect Repellents,BugShield Spray,Direct Marketing,"12,695.78","8,125",0.05
Sales revenue,France,Sunscreen,Sun Blocker,Sports Store,"10,309.70","7,215",0.05
Sales revenue,France,Sunscreen,Sun Shelter 15,Department Store,"16,322.55","26,845",0.05
Sales revenue,France,Sunscreen,Sun Shelter 30,Department Store,"17,380.50","26,845",0.05
Sales revenue,France,Sunscreen,Sun Shelter Stick,Department Store,"2,040","26,845",0.05
Sales revenue,France,Sunscreen,Sun Shield,Department Store,"10,474.50","26,845",0.05
Sales revenue,Germany,Insect Repellents,BugShield Extreme,Sports Store,"23,559.69","14,820",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion,Department Store,"14,936.60","18,915",0.05
Sales revenue,Germany,Insect Repellents,BugShield Lotion Lite,Department Store,"7,546.56","18,915",0.05
Sales revenue,Germany,Insect Repellents,BugShield Natural,Department Store,"8,726.70","18,915",0.05
Sales revenue,Germany,Insect Repellents,BugShield Spray,Direct Marketing,"11,077","7,020",0.05
Sales revenue,Germany,Sunscreen,Sun Blocker,Sports Store,"8,613.60","5,135",0.05
